Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 20400 | Area: 0.941605
N: 20450 | Area: 0.94022
N: 20500 | Area: 0.942988
N: 20550 | Area: 0.9441
N: 20600 | Area: 0.946966
N: 20650 | Area: 0.942433
N: 20700 | Area: 0.939795
N: 20750 | Area: 0.946386
N: 20800 | Area: 0.940685
N: 20850 | Area: 0.951019
N: 20900 | Area: 0.94073
N: 20950 | Area: 0.944749
N: 21000 | Area: 0.938631
N: 21050 | Area: 0.944359
N: 21100 | Area: 0.945972
N: 21150 | Area: 0.93883
N: 21200 | Area: 0.936498
N: 21250 | Area: 0.954118
N: 21300 | Area: 0.953873
N: 21350 | Area: 0.93829
N: 21400 | Area: 0.942173
N: 21450 | Area: 0.943939
N: 21500 | Area: 0.941221
N: 21550 | Area: 0.941067
N: 21600 | Area: 0.943229
N: 21650 | Area: 0.945843
N: 21700 | Area: 0.944355
N: 21750 | Area: 0.945345
N: 21800 | Area: 0.947362
N: 21850 | Area: 0.947311
N: 21900 | Area: 0.952683
N: 21950 | Area: 0.942084
N: 22000 | Area: 0.946193
N: 22050 | Area: 0.94932
N: 22100 | Area: 0.94655
N: 22150 | Area: 0.945655
N: 22200 | Area: 0.944707
N: 22250 | Area: 0.947528
N: 22300 | Area: 0.9463
N: 22350 | Area: 0.947595
N: 22400 | Area: 0.94269
N: 22450 | Area: 0.948497
N: 22500 | Area: 0.939778
N: 22550 | Area: 0.944346
N: 22600 | Area: 0.944414
N: 22650 | Area: 0.944868
N: 22700 | Area: 0.945485
N: 22750 | Area: 0.947033
N: 22800 | Area: 0.944737
N: 22850 | Area: 0.953829
N: 22900 | Area: 0.938155
N: 22950 | Area: 0.945207
N: 23000 | Area: 0.945272
N: 23050 | Area: 0.95282
N: 23100 | Area: 0.945238
N: 23150 | Area: 0.936123
N: 23200 | Area: 0.946713
N: 23250 | Area: 0.948817
N: 23300 | Area: 0.9397
N: 23350 | Area: 0.949411
N: 23400 | Area: 0.945726
N: 23450 | Area: 0.943817
N: 23500 | Area: 0.942606
N: 23550 | Area: 0.944586
N: 23600 | Area: 0.944809
N: 23650 | Area: 0.94593
N: 23700 | Area: 0.944198
N: 23750 | Area: 0.944789
N: 23800 | Area: 0.938655
N: 23850 | Area: 0.942925
N: 23900 | Area: 0.941893
N: 23950 | Area: 0.939666
N: 24000 | Area: 0.942604
N: 24050 | Area: 0.942931
N: 24100 | Area: 0.94751
N: 24150 | Area: 0.951967
N: 24200 | Area: 0.945093
N: 24250 | Area: 0.944639
N: 24300 | Area: 0.94249
N: 24350 | Area: 0.938809
N: 24400 | Area: 0.945236
N: 24450 | Area: 0.944274
N: 24500 | Area: 0.944388
N: 24550 | Area: 0.94109
N: 24600 | Area: 0.940498
N: 24650 | Area: 0.94645
N: 24700 | Area: 0.946103
N: 24750 | Area: 0.945455
N: 24800 | Area: 0.945665
N: 24850 | Area: 0.940493
N: 24900 | Area: 0.94503
N: 24950 | Area: 0.946643
N: 25000 | Area: 0.94515
N: 25050 | Area: 0.943313
N: 25100 | Area: 0.943576
N: 25150 | Area: 0.939612
N: 25200 | Area: 0.940476
N: 25250 | Area: 0.942673
N: 25300 | Area: 0.950939
N: 25350 | Area: 0.955227
N: 25400 | Area: 0.94439
N: 25450 | Area: 0.947495
N: 25500 | Area: 0.947304
N: 25550 | Area: 0.94545
N: 25600 | Area: 0.945117
N: 25650 | Area: 0.944639
N: 25700 | Area: 0.945331
N: 25750 | Area: 0.944126
N: 25800 | Area: 0.939583
N: 25850 | Area: 0.947872
N: 25900 | Area: 0.944546
N: 25950 | Area: 0.936175
N: 26000 | Area: 0.935529
N: 26050 | Area: 0.947649
N: 26100 | Area: 0.942768
N: 26150 | Area: 0.938098
N: 26200 | Area: 0.947137
N: 26250 | Area: 0.939524
N: 26300 | Area: 0.946198
N: 26350 | Area: 0.942457
N: 26400 | Area: 0.941335
N: 26450 | Area: 0.950236
N: 26500 | Area: 0.944198
N: 26550 | Area: 0.946234
N: 26600 | Area: 0.944126
